contig_id	size	genome_id
CP016014.1	4746969	GCA_001890445.1
CP016406.1	4727126	GCA_001931555.1
CP016407.1	323122	GCA_001931555.1
CP016408.1	4728107	GCA_001931575.1
CP016409.1	322518	GCA_001931575.1
CP016410.1	4727114	GCA_001931595.1
CP016411.1	316814	GCA_001931595.1
CP016412.1	4727085	GCA_001931615.1
CP016413.1	316160	GCA_001931615.1
CP008925.1	4602439	GCA_001941405.1
CP019172.1	4777591	GCA_001952995.1
CP019173.1	81409	GCA_001952995.1
CP019196.1	4710704	GCA_001953015.1
CP019179.1	4842582	GCA_001953035.1
CP019180.1	74560	GCA_001953035.1
CP019204.1	4777591	GCA_001953675.1
CP019205.1	81408	GCA_001953675.1
CP019206.1	4777591	GCA_001953695.1
CP019207.1	81410	GCA_001953695.1
CP019116.1	4648086	GCA_001956735.1
CP016837.1	4920660	GCA_001969425.1
CP016838.1	341373	GCA_001969425.1
CP075118.1	4679535	GCA_001972545.2
CP075119.1	61453	GCA_001972545.2
CP075120.1	4679257	GCA_001972625.2
CP075121.1	61453	GCA_001972625.2
CP022003.1	4679123	GCA_001973275.2
CP022004.1	59371	GCA_001973275.2
CP075122.1	4679656	GCA_001973785.2
CP075123.1	61453	GCA_001973785.2
CP075124.1	33067	GCA_001973785.2
CP019408.1	4847468	GCA_001975245.1
CP019406.1	4693979	GCA_001975265.1
CP019403.1	4801658	GCA_001975285.1
CP019404.1	4849139	GCA_001975305.1
CP019405.1	4801835	GCA_001975325.1
CP019407.1	4777558	GCA_001975345.1
CP019409.1	4668861	GCA_001975365.1
CP019410.1	4618056	GCA_001975385.1
CP019411.1	4651794	GCA_001975405.1
CP019412.1	4566169	GCA_001975425.1
CP019413.1	4942273	GCA_001975445.1
CP019414.1	4532753	GCA_001975515.1
CP019415.1	4690402	GCA_001975555.1
CP019416.1	4691807	GCA_001975605.1
CP019417.1	4916040	GCA_001975625.1
CP019418.1	4640929	GCA_001975645.1
CP019442.1	4974856	GCA_001989635.1
CP019443.1	233802	GCA_001989635.1
CP019444.1	84565	GCA_001989635.1
CP015574.1	4938076	GCA_002119485.1
CP020825.1	4679401	GCA_002128365.1
CP020826.1	59363	GCA_002128365.1
CP020823.1	4679064	GCA_002128385.1
CP020824.1	59372	GCA_002128385.1
CP020922.1	4882599	GCA_002163995.1
CP020923.1	116677	GCA_002163995.1
CP020924.1	65419	GCA_002163995.1
CP017720.1	4716739	GCA_002196535.1
CP017721.1	280421	GCA_002196535.1
CP017722.1	7665	GCA_002196535.1
CP021909.1	4855001	GCA_002201855.1
CP021910.1	6863	GCA_002201855.1
CP022034.1	4774926	GCA_002208255.1
CP022036.1	93727	GCA_002208255.1
CP022035.1	136771	GCA_002208255.1
CP022062.2	4863143	GCA_002208965.2
CP022060.2	11782	GCA_002208965.2
CP022061.2	44561	GCA_002208965.2
CP022063.2	173817	GCA_002208965.2
CP022064.2	109170	GCA_002208965.2
CP022065.2	11366	GCA_002208965.2
CP022069.2	4916780	GCA_002209205.2
CP022066.2	3304	GCA_002209205.2
CP022067.2	4301	GCA_002209205.2
CP022068.1	19849	GCA_002209205.2
CP022070.2	4884508	GCA_002209225.2
CP022071.2	93862	GCA_002209225.2
CP022072.2	42327	GCA_002209225.2
CP019649.1	4999862	GCA_002210025.1
CP019647.1	275801	GCA_002210025.1
CP019648.1	4083	GCA_002210025.1
CP022116.1	4874915	GCA_002211565.1
CP022117.1	4822139	GCA_002211585.1
CP022118.1	416444	GCA_002211585.1
CP022119.1	30030	GCA_002211585.1
CP022135.1	4913978	GCA_002211825.1
CP022136.1	85657	GCA_002211825.1
CP022137.1	66457	GCA_002211825.1
CP022138.1	4812886	GCA_002211845.1
CP016754.1	4686254	GCA_002220345.1
CP022450.1	4779514	GCA_002224405.1
CP022451.1	222470	GCA_002224405.1
CP022452.1	60860	GCA_002224405.1
CP022453.1	38911	GCA_002224405.1
CP022454.1	17636	GCA_002224405.1
CP022467.1	4719375	GCA_002234475.1
CP022489.1	4796292	GCA_002234515.1
CP022491.1	4775303	GCA_002234735.2
CP022492.1	131583	GCA_002234735.2
CP022494.1	4850334	GCA_002234755.2
CP022495.1	236555	GCA_002234755.2
CP022490.1	4734880	GCA_002234775.1
CP022497.1	4732484	GCA_002234795.1
CP022498.1	31173	GCA_002234795.1
CP022499.1	38945	GCA_002234795.1
CP020492.1	4751926	GCA_002238275.1
CP020493.1	264914	GCA_002238275.1
CP020494.1	54067	GCA_002238275.1
CP075112.1	4796034	GCA_002265865.2
CP075113.1	4843563	GCA_002266085.2
CP075114.1	74688	GCA_002266085.2
CP075115.1	4568154	GCA_002266205.2
CP075116.1	4688242	GCA_002266325.2
CP023166.1	4792385	GCA_002290205.1
CP023167.1	254041	GCA_002290205.1
CP017232.1	4679637	GCA_002313085.1
CP017233.1	96999	GCA_002313085.1
CP017177.1	4686230	GCA_002313105.1
CP017178.1	59371	GCA_002313105.1
CP022168.1	4991167	GCA_002313125.1
CP022169.1	151609	GCA_002313125.1
CP023508.1	4588003	GCA_002386165.1
CP023512.1	4838098	GCA_002386325.1
CP022663.1	4991140	GCA_002504105.1
CP022661.1	143770	GCA_002504105.1
CP022662.1	132606	GCA_002504105.1
CP022658.1	4892239	GCA_002504125.1
CP022659.1	70062	GCA_002504125.1
CP022660.1	290957	GCA_002504125.1
CP075106.1	4806207	GCA_002507715.2
CP075108.1	4660570	GCA_002507745.2
CP075107.1	4484627	GCA_002507865.2
CP075109.1	4753965	GCA_002507875.2
CP075110.1	4800918	GCA_002507915.2
CP075111.1	101510	GCA_002507915.2
CP024165.1	4801841	GCA_002741885.1
CP024166.1	135915	GCA_002741885.1
CP024167.1	92392	GCA_002741885.1
CP024168.1	4813545	GCA_002741905.1
CP018635.1	4678113	GCA_002760915.1
CP018636.1	59373	GCA_002760915.1
CP018640.1	4679538	GCA_002760935.1
CP018641.1	59371	GCA_002760935.1
CP018642.1	4698044	GCA_002760955.1
CP018643.1	118824	GCA_002760955.1
CP018644.1	4686089	GCA_002760975.1
CP018645.1	4684909	GCA_002760995.1
CP018646.1	54796	GCA_002760995.1
CP018647.1	4699764	GCA_002761015.1
CP018655.1	4699800	GCA_002761035.1
CP018656.1	244210	GCA_002761035.1
CP018657.1	4934513	GCA_002761055.1
CP018658.1	94039	GCA_002761055.1
CP018659.1	4679309	GCA_002761075.1
CP018660.1	59370	GCA_002761075.1
CP018661.1	4679622	GCA_002761095.1
CP018662.1	51980	GCA_002761095.1
CP018663.1	59356	GCA_002761095.1
CP018633.1	4661885	GCA_002761115.1
CP018634.1	92831	GCA_002761115.1
CP018637.1	4690881	GCA_002761135.1
CP018638.1	95773	GCA_002761135.1
CP018639.1	59335	GCA_002761135.1
CP018648.1	4688972	GCA_002761155.1
CP018649.1	54541	GCA_002761155.1
CP018650.1	59372	GCA_002761155.1
CP017970.1	4593026	GCA_002761335.1
CP017971.1	4587202	GCA_002761355.1
CP017972.1	4598213	GCA_002761375.1
CP017973.1	4547966	GCA_002761395.1
CP017974.1	4773383	GCA_002761415.1
CP017975.1	4700953	GCA_002761435.1
CP017976.1	4693862	GCA_002761455.1
CP017977.1	4726140	GCA_002761475.1
CP017978.1	4655223	GCA_002761495.1
CP018651.1	4698445	GCA_002763415.1
CP018652.1	200045	GCA_002763415.1
CP018653.1	59334	GCA_002763415.1
CP018654.1	33784	GCA_002763415.1
CP017719.1	4765719	GCA_002777175.1
CP019383.1	4673894	GCA_002813935.1
CP019174.1	4805333	GCA_002863765.1
CP019175.1	94727	GCA_002863765.1
CP019202.1	4537888	GCA_002863785.1
CP019203.1	178238	GCA_002863785.1
CP025745.1	4742945	GCA_002900325.1
CP026609.1	4846817	GCA_002946375.1
CP026569.1	4679649	GCA_002946675.1
CP026570.1	96994	GCA_002946675.1
CP026700.1	4870262	GCA_002947135.1
CP026701.1	93832	GCA_002947135.1
CP026327.1	4900326	GCA_002952975.1
CP027414.1	4822237	GCA_002983965.1
CP027415.1	113066	GCA_002983965.1
CP027413.1	93832	GCA_002983965.1
CP027416.1	7927	GCA_002983965.1
CP027412.1	4776422	GCA_002984035.1
CP027411.1	232341	GCA_002984035.1
CP027410.1	4972718	GCA_002984285.1
CP027409.1	220137	GCA_002984285.1
CP026660.1	4698699	GCA_002999175.1
CP026661.1	310921	GCA_002999175.1
CP028169.1	4941290	GCA_003030105.1
CP028170.1	177712	GCA_003030105.1
CP028171.1	4277	GCA_003030105.1
CP028172.1	4636770	GCA_003030125.1
CP028173.1	50905	GCA_003030125.1
CP028174.1	33310	GCA_003030125.1
CP028175.1	5572	GCA_003030125.1
CP028196.1	4740838	GCA_003030265.1
CP028197.1	444417	GCA_003030265.1
CP028198.1	92366	GCA_003030265.1
CP028199.2	4856225	GCA_003030285.2
CP028200.2	95983	GCA_003030285.2
CP020565.1	4698556	GCA_003031835.1
CP025217.1	4840810	GCA_003031855.1
CP025218.1	4774550	GCA_003031875.1
CP025554.1	4678516	GCA_003031995.1
CP025553.1	59331	GCA_003031995.1
CP025555.1	4870262	GCA_003032015.1
CP025556.1	93832	GCA_003032015.1
CP025559.1	4685973	GCA_003032035.1
CP025557.1	59373	GCA_003032035.1
CP025558.1	30098	GCA_003032035.1
CP028729.1	4754975	GCA_003052785.2
CP029249.1	152940	GCA_003052785.2
CP020752.1	4597370	GCA_003054535.1
CP077691.1	5049049	GCA_003064165.2
CP077692.1	137180	GCA_003064165.2
CP077711.1	4896516	GCA_003064365.2
CP077693.1	5070267	GCA_003064405.2
CP077694.1	137153	GCA_003064405.2
CP077695.1	26031	GCA_003064405.2
CP077704.1	4846369	GCA_003067445.2
CP077705.1	67728	GCA_003067445.2
CP077696.1	4803137	GCA_003067765.2
CP077697.1	94857	GCA_003067765.2
CP077698.1	26030	GCA_003067765.2
CP077699.1	4875120	GCA_003067925.2
CP077700.1	136494	GCA_003067925.2
CP077701.1	26022	GCA_003067925.2
CP077702.1	4666651	GCA_003067985.2
CP077703.1	85811	GCA_003067985.2
CP077706.1	4728023	GCA_003068025.2
CP077707.1	137180	GCA_003068025.2
CP077708.1	96045	GCA_003068025.2
CP077709.1	26031	GCA_003068025.2
CP020912.1	4694308	GCA_003071485.1
CP020913.1	119867	GCA_003071485.1
CP027677.1	4887378	GCA_003071545.1
CP027678.1	284485	GCA_003071545.1
CP027679.1	177190	GCA_003071545.1
CP027680.1	10047	GCA_003071545.1
CP029036.1	4794849	GCA_003073495.1
CP029037.1	319930	GCA_003073495.1
CP029041.1	4914635	GCA_003073515.1
CP029040.1	4807052	GCA_003073535.1
CP029038.1	4766139	GCA_003073555.1
CP029035.1	4694397	GCA_003073575.1
CP029039.1	4694399	GCA_003073595.1
CP029336.1	4694373	GCA_003130605.1
CP029567.1	4900176	GCA_003177235.1
CP029568.1	5070296	GCA_003177255.1
CP029593.1	4933577	GCA_003181075.1
CP029594.1	94034	GCA_003181075.1
CP029595.1	4933522	GCA_003181155.1
CP029596.1	94001	GCA_003181155.1
CP028157.1	4668881	GCA_003184325.1
CP028156.1	56636	GCA_003184325.1
CP028155.1	60014	GCA_003184325.1
CP028151.1	4668875	GCA_003184425.1
CP028152.1	56636	GCA_003184425.1
CP028153.1	60294	GCA_003184425.1
CP028154.1	6230	GCA_003184425.1
CP140737.2	4883883	GCA_003200975.3
CP029800.1	4674190	GCA_003231095.1
CP029801.1	34063	GCA_003231095.1
CP029802.1	90137	GCA_003231095.1
CP030794.1	4685707	GCA_003312565.1
CP030795.1	33304	GCA_003312565.1
CP030796.1	59371	GCA_003312565.1
CP018219.1	4901979	GCA_003347075.1
CP018220.1	197365	GCA_003347075.1
CP023475.1	4707598	GCA_003429365.1
CP023476.1	34661	GCA_003429365.1
CP023975.1	4791341	GCA_003429465.1
CP023436.1	4682412	GCA_003515965.1
CP023437.1	60923	GCA_003515965.1
CP023438.1	51931	GCA_003515965.1
CP032194.1	4916886	GCA_003571625.1
CP032192.1	159356	GCA_003571625.1
CP032193.1	87450	GCA_003571625.1
CP074606.1	4893756	GCA_003581245.2
CP032384.1	4877387	GCA_003589785.1
CP032385.1	103514	GCA_003589785.1
CP032386.1	75390	GCA_003589785.1
CP032387.1	4844293	GCA_003589805.1
CP032388.1	124532	GCA_003589805.1
CP032389.1	36009	GCA_003589805.1
CP032390.1	4846886	GCA_003589825.1
CP032391.1	146176	GCA_003589825.1
CP032392.1	74461	GCA_003589825.1
CP032393.1	4858438	GCA_003589845.1
CP032395.1	164900	GCA_003589845.1
CP032394.1	55415	GCA_003589845.1
CP032396.1	4868095	GCA_003589865.1
CP032397.1	329264	GCA_003589865.1
CP032444.1	4732430	GCA_003590695.1
CP032445.1	89737	GCA_003590695.1
CP032449.1	4913018	GCA_003590755.1
CP032450.1	114923	GCA_003590755.1
CP032446.1	4844133	GCA_003595645.1
CP032447.1	74560	GCA_003595645.1
CP032448.1	77171	GCA_003595645.1
CP032379.1	4844213	GCA_003595725.1
CP032380.1	96567	GCA_003595725.1
CP032381.1	74562	GCA_003595725.1
CP022963.1	4728875	GCA_003606225.1
CP022964.1	67685	GCA_003606225.1
CP022965.1	86369	GCA_003606225.1
CP032622.2	4727462	GCA_003627015.2
CP032814.1	4985863	GCA_003641265.1
CP032816.1	4588222	GCA_003641285.1
CP032815.1	4985867	GCA_003641305.1
CP032817.1	4985874	GCA_003641325.1
CP032851.1	4679739	GCA_003663765.1
CP032850.1	59387	GCA_003663765.1
CP033090.1	4676321	GCA_003691385.1
CP033089.1	59373	GCA_003691385.1
CP033338.1	4689440	GCA_003710125.1
CP033339.1	104123	GCA_003710125.1
CP033344.1	4651134	GCA_003710145.1
CP033340.1	4668874	GCA_003710165.1
CP033341.1	59261	GCA_003710165.1
CP033342.1	56636	GCA_003710165.1
CP033345.1	4834056	GCA_003710185.1
CP033346.1	109917	GCA_003710185.1
CP033343.1	4709669	GCA_003710205.1
CP025094.1	4828397	GCA_003856755.1
CP034230.1	4869644	GCA_003864015.1
CP034231.1	95924	GCA_003864015.1
CP034233.1	4818442	GCA_003864035.1
CP034232.1	4759051	GCA_003864055.1
CP040699.1	4709901	GCA_003902395.2
CP028311.1	4793457	GCA_003986635.1
CP028312.1	117928	GCA_003986635.1
CP028313.1	43609	GCA_003986635.1
CP028314.1	4808419	GCA_003986655.1
CP028315.1	98989	GCA_003986655.1
CP028316.1	187594	GCA_003986655.1
CP028317.1	2096	GCA_003986655.1
CP028318.1	4884375	GCA_003986675.1
CP028319.1	94045	GCA_003986675.1
CP034717.1	4860626	GCA_003994635.1
CP034719.1	4766197	GCA_003994655.1
CP034720.1	93964	GCA_003994655.1
CP034697.1	4861251	GCA_003994675.1
CP025736.1	4867164	GCA_003999215.1
CP025737.1	99333	GCA_003999215.1
CP034968.1	4913154	GCA_004022525.1
CP034969.1	4791	GCA_004022525.1
CP033226.2	4990577	GCA_004124035.2
CP033224.2	181747	GCA_004124035.2
CP033225.2	6758	GCA_004124035.2
CP033257.2	4991162	GCA_004124055.2
CP033256.1	147918	GCA_004124055.2
CP033255.2	4957526	GCA_004124095.2
CP033253.2	149567	GCA_004124095.2
CP033254.2	60381	GCA_004124095.2
CP033348.2	4696663	GCA_004124155.2
CP033347.2	297348	GCA_004124155.2
CP033352.2	4999270	GCA_004124175.2
CP033351.2	210674	GCA_004124175.2
CP033350.2	4834516	GCA_004124195.2
CP033349.2	33309	GCA_004124195.2
CP033356.2	4733813	GCA_004124215.2
CP033353.2	255327	GCA_004124215.2
CP033354.2	41696	GCA_004124215.2
CP033355.2	61841	GCA_004124215.2
CP026713.1	4686022	GCA_004135835.1
CP026714.1	59333	GCA_004135835.1
CP025248.1	4884276	GCA_004136035.1
CP025230.1	4863437	GCA_004136055.1
CP025231.1	158213	GCA_004136055.1
CP025232.1	4774216	GCA_004136075.1
CP025233.1	60586	GCA_004136075.1
CP025234.1	4830646	GCA_004136095.1
CP025235.1	6761	GCA_004136095.1
CP025236.1	122896	GCA_004136095.1
CP025243.1	4928771	GCA_004136115.1
CP025244.1	4593	GCA_004136115.1
CP025245.1	111814	GCA_004136115.1
CP025237.1	4830765	GCA_004136135.1
CP025238.1	3605	GCA_004136135.1
CP025239.1	96768	GCA_004136135.1
CP025240.1	146581	GCA_004136135.1
CP025241.1	4859678	GCA_004136155.1
CP025242.1	98400	GCA_004136155.1
CP025246.1	4810141	GCA_004136175.1
CP025247.1	2579	GCA_004136175.1
CP030936.1	4780894	GCA_004136335.1
CP036165.1	4851542	GCA_004194605.3
CP037994.1	84511	GCA_004194605.3
CP036167.1	4924354	GCA_004194615.2
CP036168.1	4930312	GCA_004194625.2
CP036166.1	4808491	GCA_004194635.5
CP037995.1	48223	GCA_004194635.5
CP041208.1	4795996	GCA_004224885.2
CP041209.1	158212	GCA_004224885.2
CP041210.1	3605	GCA_004224885.2
CP047525.1	5002876	GCA_004323995.2
CP047526.1	249143	GCA_004323995.2
CP047529.1	4976742	GCA_004324015.2
CP047530.1	197840	GCA_004324015.2
CP047531.1	4892507	GCA_004324025.2
CP047532.1	212793	GCA_004324025.2
CP047533.1	96002	GCA_004324025.2
CP047534.1	4074	GCA_004324025.2
CP047535.1	4779995	GCA_004324035.2
CP047536.1	243126	GCA_004324035.2
CP047540.1	4972293	GCA_004324045.2
CP047541.1	232064	GCA_004324045.2
CP047542.1	4998888	GCA_004324095.2
CP047543.1	216197	GCA_004324095.2
CP047544.1	5028175	GCA_004324115.2
